DATA,FECHAMENTO
2024-04-30,40.28
2024-04-29,40.4
2024-04-26,39.69
2024-04-25,39.39
2024-04-24,38.46
2024-04-23,38.64
2024-04-22,38.71
2024-04-19,37.81
2024-04-18,37.17
2024-04-17,37.11
2024-04-16,36.84
2024-04-15,36.67
2024-04-12,36.33
2024-04-11,36.66
2024-04-10,36.93
2024-04-09,36.13
2024-04-08,36.04
2024-04-05,35.54
2024-04-04,35.34
2024-04-03,35.84
2024-04-02,36.03
2024-04-01,35.12
2024-03-28,34.85
2024-03-27,34.1
2024-03-26,33.83
2024-03-25,34.14
2024-03-22,33.63
2024-03-21,33.3
2024-03-20,34.24
2024-03-19,33.65
2024-03-18,33.9
2024-03-15,33.88
2024-03-14,33.79
2024-03-13,33.94
2024-03-12,34.35
2024-03-11,33.26
2024-03-08,33.69
2024-03-07,37.68
2024-03-06,38.1
2024-03-05,37.28
2024-03-04,37.39
2024-03-01,37.48
2024-02-29,37.44
2024-02-28,37.72
2024-02-27,39.77
2024-02-26,39.82
2024-02-23,39.09
2024-02-22,39.36
2024-02-21,39.66
2024-02-20,39.6
2024-02-19,40.02
2024-02-16,39.82
2024-02-15,39.46
2024-02-14,38.24
2024-02-09,38.53
2024-02-08,39.05
2024-02-07,39.37
2024-02-06,38.8
2024-02-05,38.44
2024-02-02,38.28
2024-02-01,38.78
2024-01-31,37.73
2024-01-30,37.61
2024-01-29,37.85
2024-01-26,37.28
2024-01-25,36.64
2024-01-24,35.34
2024-01-23,35.61
2024-01-22,35.17
2024-01-19,35.01
2024-01-18,35.2
2024-01-17,35.34
2024-01-16,35.54
2024-01-15,35.99
2024-01-12,35.61
2024-01-11,35.51
2024-01-10,35.22
2024-01-09,35.54
2024-01-08,35.85
2024-01-05,36.12
2024-01-04,36.04
2024-01-03,36.34
2024-01-02,35.24
